ccaa,provincia,municipio,id,codigo_ine,titularidad,fin,uso,descripcion,direccion,latitud,longitud,coor_google,foto_1,foto_2,foto_3,participante,revision
Andalucía,Granada,Albuñol,NA,,Privada,Museo,No,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","A-345 Km 64,7",-3.182889,36.761972,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Lucrecio,NA
Andalucía,Granada,Albolote,NA,,Privada,Museo,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","A-92 Km 239,000",-3.667139,37.232667,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Lucrecio,NA
Cataluña,Tarragona,Vandellòs I L'hospitalet De L'infant,NA,,Privada,Museo,No,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Acceso Norte A Vandellòs (C-233 Km 9,8)",0.82725,41.020139,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Lucrecio,NA
Cataluña,Tarragona,Reus,NA,,Privada,Museo,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Apel·les Mestres 44-46,1.071278,41.162944,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Lucrecio,NA
Cataluña,Girona,Lloret De Mar,NA,,Privada,Museo,No,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Avenida Av Vila De Blanes 120,",2.831139,41.7,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Lucrecio,NA
Cataluña,Girona,Castell-Platja D'aro,NA,,Privada,Museo,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Avenida Castell D'aro, 122",3.050861,41.816222,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Lucrecio,NA
Andalucía,Córdoba,Aguilar De La Frontera,NA,,Privada,Museo,No,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Avenida Antonio Sanchez, 21",-4.654778,37.509861,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Lucrecio,NA
Andalucía,Córdoba,Palma Del Río,NA,,Privada,Museo,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Avenida Avenida De La Paz Sn  / Gran Via Aulio Cornelio Palma  Sn, Sn",-5.272694,37.700056,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Lucrecio,NA
Andalucía,Almería,El Ejido,NA,,Privada,Museo,No,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Calle Agua, 60",-2.691417,36.709667,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Lucrecio,NA
Andalucía,Almería,Fines,NA,,Privada,Museo,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Calle Argentina (Cañ), 34",-2.266972,37.363417,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Lucrecio,NA
País Vasco,Gipuzkoa,Donostia/San Sebastián,NA,,Privada,Museo,No,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Avenida Hipodromo, S/N",-2.023,43.25425,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Lucrecio,NA
País Vasco,Gipuzkoa,Irun,NA,,Privada,Museo,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Avenida Iparralde, 42",-1.787028,43.347278,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Lucrecia,NA
Castilla-La Mancha,Toledo,Illescas,NA,,Privada,Colegio,No,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Avenida Castilla La Mancha, 79",-3.84625,40.126306,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Lucrecia,NA
Castilla-La Mancha,Toledo,Alameda De La Sagra,NA,,Privada,Colegio,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Avenida Castilla La Mancha, 8",-3.805028,40.014778,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Lucrecia,NA
Extremadura,Badajoz,Acedera,NA,,Privada,Colegio,No,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Plaza De La Iglesia, S/N",-5.625139,39.084861,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Lucrecia,NA
Extremadura,Badajoz,Badajoz,NA,,Privada,Colegio,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Plaza Plaza Del Pilar, S/N, S/N",-6.971306,38.874333,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Lucrecia,NA
Navarra,Navarra,Carcastillo,NA,,Privada,Colegio,No,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",Avenida Aragon 50,-1.44323,42.373833,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Lucrecia,NA
Navarra,Navarra,Olite/Erriberri,NA,,Privada,Colegio,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Avenida Beire, 55",-1.645444,42.474083,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Lucrecia,NA
Andalucía,Jaén,Úbeda,NA,,Privada,Colegio,No,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Calle Carretera De Vilches, S/N",-3.369528,38.026167,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Lucrecia,NA
Andalucía,Jaén,Jaén,NA,,Privada,Colegio,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Calle Castellar, S/N",-3.785694,37.794667,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Lucrecia,NA
Comunidad Valenciana,Castellón/Castelló,Borriana/Burriana,NA,,Privada,Colegio,No,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Cl Avenida Jaime Chicharro, 6",-0.080611,39.882778,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Lucrecia,NA
Comunidad Valenciana,Castellón/Castelló,Segorbe,NA,,Privada,Colegio,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Cl Avenida Navarro Reverter, 10",-0.486611,39.849972,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Lucrecia,NA
Cantabria,Cantabria,El Astillero,NA,,Privada,Colegio,No,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Calle Boo, 52",-3.8435,43.412222,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Lucrecia,NA
Cantabria,Cantabria,Cartes,NA,,Privada,Colegio,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Calle Cartes-Carabete, 9",-4.07425,43.322556,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Lucrecia,NA
Andalucía,Huelva,Ayamonte,NA,,Privada,Colegio,No,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Avenida Cayetano Feu, N",-7.400972,37.21425,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Lucrecia,NA
Andalucía,Huelva,Puebla De Guzmán,NA,,Privada,Colegio,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Avenida Constitucion De La, 15",-7.252361,37.610556,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Lucrecia,NA
Castilla y León,Valladolid,Valladolid,NA,,Privada,Colegio,No,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Avenida De Burgos, 51",-4.724222,41.674361,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Lucrecia,NA
Castilla y León,Valladolid,Medina Del Campo,NA,,Privada,Colegio,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Avenida De La Constitucion, 54",-4.916472,41.318139,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Lucrecia,NA
Castilla-La Mancha,Ciudad Real,Daimiel,NA,,Privada,Colegio,No,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Calle Tiburcio, 98",-3.618194,39.062222,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Lucrecia,NA
Castilla-La Mancha,Ciudad Real,Porzuna,NA,,Privada,Colegio,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Calle Toledo,, 50",-4.162472,39.153139,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Lucrecia,NA
Castilla y León,León,Santa María De La Isla,NA,,Privada,Colegio,No,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Calle El Parque, 9",-5.935528,42.375139,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Lucrecia,NA
Cataluña,Lleida,Lleida,NA,,Privada,Colegio,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Calle Enginyer Antoni Llobet, S/N",0.632167,41.602444,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Lucrecia,NA
Extremadura,Cáceres,Cáceres,NA,,Privada,Colegio,No,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Calle Gil Cordero, S,N",-6.382444,39.469417,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Lucrecia,NA
Castilla-La Mancha,Albacete,Albacete,NA,,Privada,Colegio,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Calle Hermanos Falcó, 2",-1.849028,38.98925,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Lucrecia,NA
Castilla y León,Burgos,Burgos,NA,,Privada,Colegio,No,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Calle Juan Ramón Jimenez, S/N",-3.660306,42.351167,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Lucrecia,NA
País Vasco,Araba/Álava,Vitoria-Gasteiz,NA,,Privada,Colegio,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Calle Jundiz, 14",-2.736361,42.83675,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Lucrecia,NA
Castilla y León,Salamanca,Carbajosa De La Sagrada,NA,,Privada,Colegio,No,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Calle Newton, 13",-5.655139,40.943306,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Lucrecia,NA
La Rioja,La Rioja,Logroño,NA,,Privada,Colegio,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Calle Piqueras, 22",-2.432361,42.456556,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Lucrecia,NA
Galicia,Ourense,Ourense,NA,,Privada,Colegio,No,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Calle Poblado Velle, S/N",-7.844639,42.356944,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Lucrecia,NA
Castilla-La Mancha,Guadalajara,Yunquera De Henares,NA,,Privada,Colegio,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Calle Real, 122",-3.166861,40.750139,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Lucrecia,NA
